name,description,type,level,lessonNum,hoursForLearn,usedNum,recommendNum,lesson,subLesson,sort,useModule,useCollection,dataExtractCondition
"","","","","","","","","Bài 15","Từ vựng","15","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',400dongtu,lesson15,'}}"
"","","","","","","","","Bài 16","Từ vựng","16","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',400dongtu,lesson16,'}}"
"","","","","","","","","Bài 17","Từ vựng","17","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',400dongtu,lesson17,'}}"
"","","","","","","","","Bài 18","Từ vựng","18","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',400dongtu,lesson18,'}}"
"","","","","","","","","Bài 19","Từ vựng","19","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',400dongtu,lesson19,'}}"
"","","","","","","","","Bài 20","Từ vựng","20","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',400dongtu,lesson20,'}}"
"Test N3 năm 1991","Đề thi N3 của năm 1991","test","N3","3","","","","Phần 1","Từ vựng","1","test","article","{'level': 'N3', 'tag' : {'contains':',1991,vocabulary,'}}"
"","","","","","","","","Phần 2","Ngữ pháp","2","test","article","{'level': 'N3', 'tag' : {'contains':',1991,grammar,'}}"
"","","","","","","","","Phần 3","Đọc hiểu","3","test","article","{'level': 'N3', 'tag' : {'contains':',1991,reading,'}}"
"Kanji N2 ","Kanji N2 dựa theo chuẩn của JLPT","kanji","N2","35","","","","Bài 1","Kanji","1","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson1,'}}"
"","","","","","","","","Bài 2","Kanji","2","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson2,'}}"
"","","","","","","","","Bài 3","Kanji","3","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson3,'}}"
"","","","","","","","","Bài 4","Kanji","4","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson4,'}}"
"","","","","","","","","Bài 5","Kanji","5","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson5,'}}"
"","","","","","","","","Bài 6","Kanji","6","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson6,'}}"
"","","","","","","","","Bài 7","Kanji","7","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson7,'}}"
"","","","","","","","","Bài 8","Kanji","8","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson8,'}}"
"","","","","","","","","Bài 9","Kanji","9","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson9,'}}"
"","","","","","","","","Bài 10","Kanji","10","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson10,'}}"
"","","","","","","","","Bài 11","Kanji","11","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson11,'}}"
"","","","","","","","","Bài 12","Kanji","12","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson12,'}}"
"","","","","","","","","Bài 13","Kanji","13","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson13,'}}"
"","","","","","","","","Bài 14","Kanji","14","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson14,'}}"
"","","","","","","","","Bài 15","Kanji","15","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson15,'}}"
"","","","","","","","","Bài 16","Kanji","16","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson16,'}}"
"","","","","","","","","Bài 17","Kanji","17","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson17,'}}"
"","","","","","","","","Bài 18","Kanji","18","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson18,'}}"
"","","","","","","","","Bài 19","Kanji","19","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson19,'}}"
"","","","","","","","","Bài 20","Kanji","20","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson20,'}}"
"","","","","","","","","Bài 21","Kanji","21","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson21,'}}"
"","","","","","","","","Bài 22","Kanji","22","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson22,'}}"
"","","","","","","","","Bài 23","Kanji","23","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson23,'}}"
"","","","","","","","","Bài 24","Kanji","24","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson24,'}}"
"","","","","","","","","Bài 25","Kanji","25","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson25,'}}"
"","","","","","","","","Bài 26","Kanji","26","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson26,'}}"
"","","","","","","","","Bài 27","Kanji","27","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson27,'}}"
"","","","","","","","","Bài 28","Kanji","28","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson28,'}}"
"","","","","","","","","Bài 29","Kanji","29","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson29,'}}"
"","","","","","","","","Bài 30","Kanji","30","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson30,'}}"
"","","","","","","","","Bài 31","Kanji","31","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson31,'}}"
"","","","","","","","","Bài 32","Kanji","32","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson32,'}}"
"","","","","","","","","Bài 33","Kanji","33","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson33,'}}"
"","","","","","","","","Bài 34","Kanji","34","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson34,'}}"
"","","","","","","","","Bài 35","Kanji","35","kanji","kanji","{'level': 'N2', 'tag' : {'contains':',jlptkanji,lesson35,'}}"
