name,description,type,level,lessonNum,hoursForLearn,usedNum,recommendNum,lesson,subLesson,sort,useModule,useCollection,dataExtractCondition
"","","","","","","","","Bài 7","Từ vựng","7","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson7,'}}"
"","","","","","","","","Bài 8","Từ vựng","8","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson8,'}}"
"","","","","","","","","Bài 9","Từ vựng","9","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson9,'}}"
"","","","","","","","","Bài 10","Từ vựng","10","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson10,'}}"
"","","","","","","","","Bài 11","Từ vựng","11","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson11,'}}"
"","","","","","","","","Bài 12","Từ vựng","12","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson12,'}}"
"","","","","","","","","Bài 13","Từ vựng","13","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson13,'}}"
"","","","","","","","","Bài 14","Từ vựng","14","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson14,'}}"
"","","","","","","","","Bài 15","Từ vựng","15","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson15,'}}"
"","","","","","","","","Bài 16","Từ vựng","16","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson16,'}}"
"","","","","","","","","Bài 17","Từ vựng","17","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson17,'}}"
"","","","","","","","","Bài 18","Từ vựng","18","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson18,'}}"
"","","","","","","","","Bài 19","Từ vựng","19","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson19,'}}"
"","","","","","","","","Bài 20","Từ vựng","20","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson20,'}}"
"","","","","","","","","Bài 21","Từ vựng","21","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson21,'}}"
"","","","","","","","","Bài 22","Từ vựng","22","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson22,'}}"
"","","","","","","","","Bài 23","Từ vựng","23","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson23,'}}"
"","","","","","","","","Bài 24","Từ vựng","24","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson24,'}}"
"","","","","","","","","Bài 25","Từ vựng","25","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson25,'}}"
"","","","","","","","","Bài 26","Từ vựng","26","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson26,'}}"
"","","","","","","","","Bài 27","Từ vựng","27","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson27,'}}"
"","","","","","","","","Bài 28","Từ vựng","28","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson28,'}}"
"","","","","","","","","Bài 29","Từ vựng","29","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson29,'}}"
"","","","","","","","","Bài 30","Từ vựng","30","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap3,lesson30,'}}"
"173 mẫu ngữ pháp Tiếng Nhật","Tổng hợp 173 mẫu ngữ pháp Tiếng Nhật trình độ 2級","grammar","N2","21","40","1","1","Bài 1","Ngữ pháp","1","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson1,'}}"
"","","","","","","","","Bài 2","Ngữ pháp","2","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson2,'}}"
"","","","","","","","","Bài 3","Ngữ pháp","3","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson3,'}}"
"","","","","","","","","Bài 4","Ngữ pháp","4","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson4,'}}"
"","","","","","","","","Bài 5","Ngữ pháp","5","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson5,'}}"
"","","","","","","","","Bài 6","Ngữ pháp","6","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson6,'}}"
"","","","","","","","","Bài 7","Ngữ pháp","7","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson7,'}}"
"","","","","","","","","Bài 8","Ngữ pháp","8","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson8,'}}"
"","","","","","","","","Bài 9","Ngữ pháp","9","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson9,'}}"
"","","","","","","","","Bài 10","Ngữ pháp","10","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson10,'}}"
"","","","","","","","","Bài 11","Ngữ pháp","11","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson11,'}}"
"","","","","","","","","Bài 12","Ngữ pháp","12","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson12,'}}"
"","","","","","","","","Bài 13","Ngữ pháp","13","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson13,'}}"
"","","","","","","","","Bài 14","Ngữ pháp","14","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson14,'}}"
"","","","","","","","","Bài 15","Ngữ pháp","15","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson15,'}}"
"","","","","","","","","Bài 16","Ngữ pháp","16","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson16,'}}"
"","","","","","","","","Bài 17","Ngữ pháp","17","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson17,'}}"
"","","","","","","","","Bài 18","Ngữ pháp","18","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson18,'}}"
"","","","","","","","","Bài 19","Ngữ pháp","19","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson19,'}}"
"","","","","","","","","Bài 20","Ngữ pháp","20","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson20,'}}"
"","","","","","","","","Bài 21","Ngữ pháp","21","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson21,'}}"
"Kanji N4","Kanji N4 dựa theo chuẩn của JLPT","kanji","N4","30","30","","","Bài 1","Kanji","1","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson1,'}}"
"","","","","","","","","Bài 2","Kanji","2","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson2,'}}"
"","","","","","","","","Bài 3","Kanji","3","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson3,'}}"
"","","","","","","","","Bài 4","Kanji","4","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson4,'}}"
"","","","","","","","","Bài 5","Kanji","5","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson5,'}}"
"","","","","","","","","Bài 6","Kanji","6","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson6,'}}"
"","","","","","","","","Bài 7","Kanji","7","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson7,'}}"
"","","","","","","","","Bài 8","Kanji","8","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson8,'}}"
"","","","","","","","","Bài 9","Kanji","9","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson9,'}}"
"","","","","","","","","Bài 10","Kanji","10","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson10,'}}"
"","","","","","","","","Bài 11","Kanji","11","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson11,'}}"
"","","","","","","","","Bài 12","Kanji","12","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson12,'}}"
"","","","","","","","","Bài 13","Kanji","13","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson13,'}}"
"","","","","","","","","Bài 14","Kanji","14","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson14,'}}"
"","","","","","","","","Bài 15","Kanji","15","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson15,'}}"
"","","","","","","","","Bài 16","Kanji","16","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson16,'}}"
"","","","","","","","","Bài 17","Kanji","17","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson17,'}}"
"","","","","","","","","Bài 18","Kanji","18","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson18,'}}"
"","","","","","","","","Bài 19","Kanji","19","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson19,'}}"
"","","","","","","","","Bài 20","Kanji","20","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson20,'}}"
"","","","","","","","","Bài 21","Kanji","21","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson21,'}}"
"","","","","","","","","Bài 22","Kanji","22","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson22,'}}"
"","","","","","","","","Bài 23","Kanji","23","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson23,'}}"
"","","","","","","","","Bài 24","Kanji","24","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson24,'}}"
"","","","","","","","","Bài 25","Kanji","25","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson25,'}}"
"","","","","","","","","Bài 26","Kanji","26","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson26,'}}"
"","","","","","","","","Bài 27","Kanji","27","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson27,'}}"
"","","","","","","","","Bài 28","Kanji","28","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson28,'}}"
"","","","","","","","","Bài 29","Kanji","29","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson29,'}}"
"","","","","","","","","Bài 30","Kanji","30","kanji","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson30,'}}"
"Kanji N5","Kanji N5 dựa theo chuẩn của JLPT","kanji","N5","17","17","","","Bài 1","Kanji","1","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson1,'}}"
"","","","","","","","","Bài 2","Kanji","2","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson2,'}}"
"","","","","","","","","Bài 3","Kanji","3","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson3,'}}"
"","","","","","","","","Bài 4","Kanji","4","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson4,'}}"
"","","","","","","","","Bài 5","Kanji","5","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson5,'}}"
"","","","","","","","","Bài 6","Kanji","6","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson6,'}}"
"","","","","","","","","Bài 7","Kanji","7","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson7,'}}"
"","","","","","","","","Bài 8","Kanji","8","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson8,'}}"
"","","","","","","","","Bài 9","Kanji","9","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson9,'}}"
"","","","","","","","","Bài 10","Kanji","10","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson10,'}}"
"","","","","","","","","Bài 11","Kanji","11","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson11,'}}"
"","","","","","","","","Bài 12","Kanji","12","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson12,'}}"
"","","","","","","","","Bài 13","Kanji","13","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson13,'}}"
"","","","","","","","","Bài 14","Kanji","14","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson14,'}}"
"","","","","","","","","Bài 15","Kanji","15","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson15,'}}"
"","","","","","","","","Bài 16","Kanji","16","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson16,'}}"
"","","","","","","","","Bài 17","Kanji","17","kanji","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson17,'}}"
"Kanji N3"	"Kanji N3 dựa theo chuẩn của JLPT"	"kanji"	"N3"	"18"	"36"	""	""	"Bài 1"	"Kanji"	"1"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson1,'}}"
""	""	""	""	""	""	""	""	"Bài 2"	"Kanji"	"2"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson2,'}}"
""	""	""	""	""	""	""	""	"Bài 3"	"Kanji"	"3"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson3,'}}"
""	""	""	""	""	""	""	""	"Bài 4"	"Kanji"	"4"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson4,'}}"
""	""	""	""	""	""	""	""	"Bài 5"	"Kanji"	"5"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson5,'}}"
""	""	""	""	""	""	""	""	"Bài 6"	"Kanji"	"6"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson6,'}}"
""	""	""	""	""	""	""	""	"Bài 7"	"Kanji"	"7"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson7,'}}"
""	""	""	""	""	""	""	""	"Bài 8"	"Kanji"	"8"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson8,'}}"
""	""	""	""	""	""	""	""	"Bài 9"	"Kanji"	"9"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson9,'}}"
""	""	""	""	""	""	""	""	"Bài 10"	"Kanji"	"10"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson10,'}}"
""	""	""	""	""	""	""	""	"Bài 11"	"Kanji"	"11"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson11,'}}"
""	""	""	""	""	""	""	""	"Bài 12"	"Kanji"	"12"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson12,'}}"
""	""	""	""	""	""	""	""	"Bài 13"	"Kanji"	"13"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson13,'}}"
""	""	""	""	""	""	""	""	"Bài 14"	"Kanji"	"14"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson14,'}}"
""	""	""	""	""	""	""	""	"Bài 15"	"Kanji"	"15"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson15,'}}"
""	""	""	""	""	""	""	""	"Bài 16"	"Kanji"	"16"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson16,'}}"
""	""	""	""	""	""	""	""	"Bài 17"	"Kanji"	"17"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson17,'}}"
""	""	""	""	""	""	""	""	"Bài 18"	"Kanji"	"18"	"kanji"	"kanji"	"{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson18,'}}"
